aconto	adresse	boligtype	delevenlig	depositum	etage	forudbetalt_leje	husdyr_tilladt	indflytningspris	lejeperiode	mŒnedlig_leje	m¿bleret	oprettelsesdato	overtagelsesdato	st¿rrelse	v¾relser	longitude	latitude
750	Fyensgade, 9000 Aalborg 	Lejlighed	Nej	26985	2. sal	8995	Nej	45725	Ubegr¾nset	8995	Nej	26/10/2018	ikke snarest	92	4	9,9379923	57,042563
150	Dyrehavevej, 6000 Kolding	R¾kkehus	Nej	32700	-	0	Nej	43750	2+ Œr	10900	Nej	26/10/2018	snarest	118	4	9,4784003	55,4983315
800	Gl. lbovej, 6092 S¿nder Stenderup	Villa	Nej	27000	-	9000	Nej	45800	Ubegr¾nset	9000	Nej	31/10/2017	snarest	200	4		
825	GrenŒvej, 8541 Sk¿dstrup 	Lejlighed	Nej	17700	stuen	17700	Nej	42125	Ubegr¾nset	5900	Nej	15/08/2018	snarest	69	2	10,3001457	56,2496906
1100	Amaliegade, 8000 Aarhus C 	Lejlighed	Ja	49500	3. sal	49500	Nej	116600	Ubegr¾nset	16500	Nej	08/10/2018	snarest	143	4	10,2070981	56,1539914
1400	K¿bmagergade, 1150 K¿benhavn K 	Lejlighed	Ja	70500	4. sal	70500	Nej	165900	Ubegr¾nset	23500	Nej	17/11/2017	snarest	167	4	12,5772834	55,6808344
250	Gl. Kongevej, 6000 Kolding	Lejlighed	Nej	26104	-	6665	Ja	33575	Ubegr¾nset	6665	Nej	31/10/2018	ikke snarest	68	2		
400	Viborgvej, 8000 Aarhus C 	Lejlighed	Nej	23100	3. sal	23100	Nej	54300	Ubegr¾nset	7700	Nej	26/10/2018	snarest	66	2	10,1937595	56,1574009
1800	Korsvejen, 8660 Skanderborg	Villa	Nej	31365	-	20910	Ja	64530	2+ Œr	10455	Nej	31/10/2018	snarest	137	6	9,9134208	56,0410282
1220	Edvard Thomsens Vej, 2300 K¿benhavn S 	Lejlighed	Ja	42447	10. sal	14149	Nej	71965	Ubegr¾nset	14149	Nej	09/10/2018	ikke snarest	106	4	12,5759955	55,6324585
